cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
447453,"(2S,5R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",SCHEMBL22380861,349.400,C16H19N3O4S,138.000,562.000,-1.100,24,3,6,4,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10?,11+,14-/m1/s1",CC1([C@@H](N2[C@H](S1)C(C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,AVKUERGKIZMTKX-OAYJICASSA-N,"(2S,5R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biomolecular Interactions and Pathways|Literature|Patents,3,NULL,20050624,ABI Chem|ApexBio Technology|ChemSpider|Google Patents|Nature Chemical Biology|NCBI Structure|NextBio|PATENTSCOPE (WIPO)|Springer Nature|SureChEMBL,Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
448911,L-Ampicillin,"L-Ampicillin|19379-33-0|Ampicillin, L-|L-(+)-Ampicillin|(2S,5R,6R)-6-[[(2S)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|SFV84J2559|(2S,5R,6R)-6-((S)-2-Amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|(2S,6R)-6-{[(2R)-2-AMINO-2-PHENYLETHANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC ACID|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(((2S)-2-amino-2-phenylacetyl)amino)-3,3-dimethyl-7-oxo-, (2S,5R,6R)-|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(((2S)-aminophenylacetyl)amino)-3,3-dimethyl-7-oxo-, (2S,5R,6R)-|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-(2-amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-, L-|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid, 6-[[(2S)-aminophenylacetyl]amino]-3,3-dimethyl-7-oxo-, (2S,5R,6R)- (9CI)|(2S,5R,6R)-6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|PN1|UNII-SFV84J2559|(2S,5R,6R)-6-[[(2S)-2-Amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic Acid (L-Ampicillin)|(2S,5R,6R)-6-{[(2S)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|Ampicillin trihydrate impurity B [EP]|Ampicillin, anhydrous impurity B [EP]|SCHEMBL11612980|DTXSID40172992|ZINC4062610|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-((aminophenylacetyl)amino)-3,3-dimethyl-7-oxo-, (2S-(2alpha,5alpha,6beta(R*)))-|AMPICILLIN TRIHYDRATE IMPURITY B [EP IMPURITY]|AMPICILLIN, ANHYDROUS IMPURITY B [EP IMPURITY]|Q27289188|4-THIA-1-AZABICYCLO(3.2.0)HEPTANE-2-CARBOXYLIC ACID, 6-((AMINOPHENYLACETYL)AMINO)-3,3-DIMETHYL-7-OXO-, (2S-(2.ALPHA.,5.ALPHA.,6.BETA.(R*)))-",349.400,C16H19N3O4S,138.000,562.000,-1.100,24,3,6,4,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10+,11-,14+/m0/s1",CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@H](C3=CC=CC=C3)N)C(=O)O)C,AVKUERGKIZMTKX-BBGACYKPSA-N,"(2S,5R,6R)-6-[[(2S)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biomolecular Interactions and Pathways|Classification|Literature|Names and Identifiers|Patents,5,NULL,20050624,"A2B Chem|AA BLOCKS|ABI Chem|AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|BenchChem|BLD Pharm|Chem-Space.com Database|Chemenu Inc.|ChemIDplus|Chemieliva Pharmaceutical Co., Ltd|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|ChemTik|Comparative Toxicogenomics Database (CTD)|CymitQuimica|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|FDA Global Substance Registration System (GSRS)|Google Patents|IBM|Japan Chemical Substance Dictionary (Nikkaji)|LGC Standards|MuseChem|National Center for Advancing Translational Sciences (NCATS)|NCBI Structure|NextBio|PATENTSCOPE (WIPO)|Protein Data Bank in Europe (PDBe)|RR Scientific|SMID|Smolecule|Starshine Chemical|SureChEMBL|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
453799,Penicillanic acid deriv.,"Penicillanic acid deriv.|6-Amino-7-oxo-3,3-dimethyl-2-(methylphenylalanylcarbonyl)-4-thia-1-azabicyclo[3.2.0]heptane|methyl 2-[(6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carbonyl)amino]-3-phenyl-propanoate",377.500,C18H23N3O4S,127.000,591.000,1.100,26,2,6,6,"InChI=1S/C18H23N3O4S/c1-18(2)13(21-15(23)12(19)16(21)26-18)14(22)20-11(17(24)25-3)9-10-7-5-4-6-8-10/h4-8,11-13,16H,9,19H2,1-3H3,(H,20,22)",CC1(C(N2C(S1)C(C2=O)N)C(=O)NC(CC3=CC=CC=C3)C(=O)OC)C,OZEYWJWVMHVMDJ-UHFFFAOYSA-N,"methyl 2-[(6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carbonyl)amino]-3-phenylpropanoate",NULL,Literature,1,NULL,20050801,ABI Chem|ChemSpider|NextBio|NIAID ChemDB,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
517294,Benzylpenicillin sodium salt,"BENZYLPENICILLIN SODIUM SALT|Sodium penicillin G|sodium;(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|AKOS026749984|SB48262|DB-055301|FT-0603271",356.400,C16H17N2NaO4S,115.000,536.000,NULL,24,1,5,4,"InChI=1S/C16H18N2O4S.Na/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9;/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22);/q;+1/p-1",CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[Na+],FCPVYOBCFFNJFS-UHFFFAOYSA-M,"sodium;3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Classification|Literature|Patents,3,NULL,20050327,"001Chemical|ABI Chem|AKos Consulting & Solutions|Angel Pharmatech Ltd.|Chem-Space.com Database|ChemBridge|ChemMol|ChemSpider|Clearsynth|Collaborative Drug Discovery, Inc.|Debye Scientific Co., Ltd|DiscoveryGate|EPA Substance Registry Services|Finetech Industry Limited|Google Patents|Mcule|MolCore BioPharmatech|Molepedia|MolPort|MP Biomedicals|NextBio|NIST Chemistry WebBook|NORMAN Suspect List Exchange|Synblock Inc|Thermo Fisher Scientific|University of Kansas High Throughput Screening Laboratory",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
517573,"Penicillin G, potassium salt","Penicillin G, potassium salt|SCHEMBL6054109|Benzylpenicillin, potassium salt|CHEMBL1434858|HMS3259A18|HMS3370F17|NC00583|NCGC00094752-01|NCGC00094752-02|Benzyl Penicillinate-[d7] Potassium Salt|FT-0603312|FT-0663024",372.500,C16H17KN2O4S,115.000,536.000,NULL,24,1,5,4,"InChI=1S/C16H18N2O4S.K/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9;/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22);/q;+1/p-1",CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],IYNDLOXRXUOGIU-UHFFFAOYSA-M,"potassium;3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Biological Test Results|Classification|Patents,3,875|880|881|884|885|887|889|892|893|894|900|902|910|923|924|927|930|995|1030|1379|1452|1454|1457|1458|1460|1463|1467|1468|1469|1471|1476|1477|1478|1479|1490|1519|1766|1768|1865|1948|2101|2107|2112|2147|2451|2472|2517|2528|2546|2549|2551|485281|485290|504327|504332|504847|504865|588579|602332|624349|651828|686978|686979|720532|720533|720554|720579|720580|743268|743270|743271|743272|1053175|1159524|1159583|1259309|1259310|1259311|1259374|1259406|1259413|1347080|1347131|1409565|1409566|1409567|1409568|1409569|1409570|1409571|1409572|1508602|1645843|1645882|1645883|1645886|1645887,20050327,"AAA Chemistry|ABI Chem|BOC Sciences|ChEMBL|ChemDB|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|EPA Substance Registry Services|Finetech Industry Limited|Google Patents|Horrigan Lab, Baylor College of Medicine|ICCB-Longwood Screening Facility, Harvard Medical School|LeadScope|LEAPCHEM|MassBank Europe|Mcule|Milwaukee Institute for Drug Discovery|MolPort|MP Biomedicals|National Center for Advancing Translational Sciences (NCATS)|NextBio|NIH Clinical Collection|NIST Chemistry WebBook|NovoSeek|PATENTSCOPE (WIPO)|SureChEMBL|Thomson Pharma|University of Kansas High Throughput Screening Laboratory",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
640429,Picibanil,"PICIBANIL|benzylpenicillin(1-)|39325-01-4|Sapylin|OK 432|OK-432|UNII-2F42BH7X2L|CCRIS 2776|2F42BH7X2L|BDBM37632|CHEBI:51354|DTXSID00192555|cid_23664709|BDBM50377930|NCGC00021679-03|NCGC00021679-04|(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|AB00384263|AB00053517_15|AB00053517_16|Q27122556|2,2-dimethyl-6beta-(phenylacetamido)penam-3alpha-carboxylate|(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|potassium;(2S,5R,6R)-3,3-dimethyl-7-oxidanylidene-6-(2-phenylethanoylamino)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|potassium;(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(1-oxo-2-phenylethyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|potassium;(2S,5R,6R)-7-keto-3,3-dimethyl-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",333.400,C16H17N2O4S-,115.000,525.000,2.500,23,1,5,3,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1/t11-,12+,14-/m1/s1",CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C,JGSARLDLIJGVTE-MBNYWOFBSA-M,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",Picibanil,Biological Test Results|Biomolecular Interactions and Pathways|Classification|Drug and Medication Information|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry|Toxicity,9,1332|686977|1159580|1159607|1224863|1259407|1272365,20060125,"ABI Chem|Aurora Fine Chemicals LLC|BindingDB|BioCyc|ChEBI|Chemical Carcinogenesis Research Information System (CCRIS)|chemical genetic matrix|ChemIDplus|ChemSpider|Comparative Toxicogenomics Database (CTD)|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|Google Patents|LeadScope|Mcule|National Center for Advancing Translational Sciences (NCATS)|Nature Chemical Biology|NextBio|NMRShiftDB|NovoSeek|PATENTSCOPE (WIPO)|SCRIPDB|Southern Research Institute|Springer Nature|THE BioTek|Therapeutic Target Database (TTD)|ToxPlanet|University of Kansas High Throughput Screening Laboratory|UW Madison, Small Molecule Screening Facility|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
640430,Ampicillin(1-),"ampicillin(1-)|(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|ampicillinate|(2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|CHEBI:50658|NCGC00178944-01|AB00053419_10|AB00053419_11|Q27122172|6beta-[(2R)-2-amino-2-phenylacetamido]-2,2-dimethylpenam-3alpha-carboxylate",348.400,C16H18N3O4S-,141.000,556.000,-0.500,24,2,6,3,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/p-1/t9-,10-,11+,14-/m1/s1",CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)[O-])C,AVKUERGKIZMTKX-NJBDSQKTSA-M,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Biological Test Results|Classification|Literature|Names and Identifiers|Patents,5,1159580|1224863,20060125,"ABI Chem|BenchChem|ChEBI|chemical genetic matrix|ChemSpider|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|Google Patents|National Center for Advancing Translational Sciences (NCATS)|NextBio|NMRShiftDB|PATENTSCOPE (WIPO)|Southern Research Institute|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
1551461,"(2S,5S,6S)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",SCHEMBL11481984|ZINC1718678,334.400,C16H18N2O4S,112.000,530.000,1.800,23,2,5,4,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12-,14-/m0/s1",CC1([C@@H](N2[C@@H](S1)[C@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,JGSARLDLIJGVTE-OBJOEFQTSA-N,"(2S,5S,6S)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Patents,1,NULL,20050711,ABI Chem|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|NextBio|SureChEMBL|ZINC,Chemical Vendors|Curation Efforts|Legacy Depositors|Research and Development|Subscription Services,NULL
2210964,"(2S-(2alpha,4beta,5alpha,6alpha))-3,3-Dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid 4-oxide","72402-09-6|(2S-(2alpha,4beta,5alpha,6alpha))-3,3-Dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid 4-oxide|EINECS 276-640-1|DTXSID50222699|(2S,5beta)-3,3-Dimethyl-7-oxo-6beta-(phenylacetylamino)-4-thia-1-azabicyclo[3.2.0]heptane-2beta-carboxylic acid 4-oxide",350.400,C16H18N2O5S,123.000,599.000,0.700,24,2,6,4,"InChI=1S/C16H18N2O5S/c1-16(2)12(15(21)22)18-13(20)11(14(18)24(16)23)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/t11-,12-,14+,24?/m0/s1",CC1([C@@H](N2[C@H](S1=O)[C@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,FCZNNHHXCFARDY-SSDBHXGOSA-N,"(2S,5R,6S)-3,3-dimethyl-4,7-dioxo-6-[(2-phenylacetyl)amino]-4lambda4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Classification|Names and Identifiers,2,NULL,20050715,ABI Chem|ChemIDplus|EPA DSSTox|Japan Chemical Substance Dictionary (Nikkaji)|ToxPlanet,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
2825766,Benzylpenilloic acid,"Benzylpenilloic acid|F93JSF8762|73184-06-2|(2R,4S)-5,5-dimethyl-2-[[(2-phenylacetyl)amino]methyl]-1,3-thiazolidine-4-carboxylic acid|4-Thiazolidinecarboxylic acid, 5,5-dimethyl-2-(((phenylacetyl)amino)methyl)-|5,5-Dimethyl-2-(((2-phenylacetyl)amino)methyl)-4-thiazolidinecarboxylic acid|(2R,4S)-5,5-Dimethyl-2-(((2-phenylacetyl)amino)methyl)-4-thiazolidinecarboxylic acid|(2R,4S)-5,5-Dimethyl-2-(((phenylacetyl)amino)methyl)thiazolidine-4-carboxylic acid|(2R-trans)-5,5-Dimethyl-2-[[(phenylacetyl)amino]methyl]-4-thiazolidinecarboxylic Acid|penilloic G acid|UNII-F93JSF8762|CHEMBL3544680|CHEBI:139245|(5R,3S)-benzyl-D-penilloic acid|ZINC1639580|CCG-53208|Benzylpenicillin sodium impurity F [EP]|Benzylpenicillin potassium impurity F [EP]|SR-01000642386-1|BRD-K02315769-001-01-4|BENZYLPENICILLIN SODIUM IMPURITY F [EP IMPURITY]|BENZYLPENICILLIN POTASSIUM IMPURITY F [EP IMPURITY]|(2R,4S)-5,5-dimethyl-2-[(2-phenylacetamido)methyl]-1,3-thiazolidine-4-carboxylic acid",308.400,C15H20N2O3S,104.000,394.000,-0.700,21,3,5,5,"InChI=1S/C15H20N2O3S/c1-15(2)13(14(19)20)17-12(21-15)9-16-11(18)8-10-6-4-3-5-7-10/h3-7,12-13,17H,8-9H2,1-2H3,(H,16,18)(H,19,20)/t12-,13+/m1/s1",CC1([C@@H](N[C@H](S1)CNC(=O)CC2=CC=CC=C2)C(=O)O)C,LRWFMQCGNBOTQP-OLZOCXBDSA-N,"(2R,4S)-5,5-dimethyl-2-[[(2-phenylacetyl)amino]methyl]-1,3-thiazolidine-4-carboxylic acid",NULL,Biological Test Results|Classification|Literature|Names and Identifiers|Pharmacology and Biochemistry,5,811|833|1044|1792|1823|2291|434982|652031|1159607|1259370|1259416|1347074,20050719,"ABI Chem|BenchChem|Broad Institute|Center for Chemical Genomics, University of Michigan|ChEBI|ChEMBL|ChemExper Chemical Directory|ChemIDplus|ChemSpider|CymitQuimica|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|FDA Global Substance Registration System (GSRS)|Japan Chemical Substance Dictionary (Nikkaji)|Mcule|MolPort|NextBio|THE BioTek|The Scripps Research Institute Molecular Screening Center|Thieme Chemistry|ToxPlanet|UW Madison, Small Molecule Screening Facility|Wikidata|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
3034014,Suncillin,"Suncillin|22164-94-9|Suncillin [INN]|D6XHM6R84S|(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[[(2R)-2-phenyl-2-(sulfoamino)acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-((R)-2-phenyl-2-(sulfoamino)acetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|UNII-D6XHM6R84S|6-(D-alpha-Sulfoaminophenylacetamido)penicillanic acid|SCHEMBL2110726|CHEMBL2111139|DTXSID801043223|ZINC4217491|Q27276189|(2S,5R,6R)-3,3-Dimethyl-7-oxo-6-((R)-2-phenyl-2-(sulfoamino)acetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid|3,3-DIMETHYL-7-OXO-6-(2-PHENYL-D-2-(SULFOAMINO)ACETAMIDO)-4-THIA-1-AZABICYCLO-(3.2.0)HEPTANE-2-CARBOXYLIC ACID|4-Thia-1-azabicyclo(3 2 0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-(((2R)-phenyl(sulfoamino)acetyl)amino)-, (2S,5R,6R)-|4-Thia-1-azabicyclo(3 2 0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-((phenyl(sulfoamino)acetyl)amino)-, (2S-(2 alpha ,5 alpha ,6 beta (S*)))-|4-Thia-1-azabicyclo(3 2 0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-(2-phenyl-2-(sulfoamino)acetamido)-, D-",429.500,C16H19N3O7S2,187.000,774.000,0.500,28,4,9,6,"InChI=1S/C16H19N3O7S2/c1-16(2)11(15(22)23)19-13(21)10(14(19)27-16)17-12(20)9(18-28(24,25)26)8-6-4-3-5-7-8/h3-7,9-11,14,18H,1-2H3,(H,17,20)(H,22,23)(H,24,25,26)/t9-,10-,11+,14-/m1/s1",CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)NS(=O)(=O)O)C(=O)O)C,OIECDSKSPRTZHG-NJBDSQKTSA-N,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[[(2R)-2-phenyl-2-(sulfoamino)acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Classification|Literature|Names and Identifiers|Patents|Pharmacology and Biochemistry,5,NULL,20050808,"AAA Chemistry|ABI Chem|BenchChem|BLD Pharm|BOC Sciences|ChEMBL|Chemenu Inc.|ChemIDplus|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|Collaborative Drug Discovery, Inc.|DiscoveryGate|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|FDA Global Substance Registration System (GSRS)|Google Patents|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|KEGG|NextBio|NovoSeek|PATENTSCOPE (WIPO)|RR Scientific|Smolecule|Springer Nature|Starshine Chemical|SureChEMBL|THE BioTek|Thomson Pharma|ToxPlanet|Wikidata|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,NULL
3042436,"6-(D-(-)-alpha-(4-Octyl-2,3-dioxo-1-piperazinecarboxamido)phenylacetamido)penicillanic acid","59703-98-9|T 1213|DTXSID00975108|BRN 1066231|6-(D-(-)-alpha-(4-Octyl-2,3-dioxo-1-piperazinecarboxamido)phenylacetamido)penicillanic acid|4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-6-(((((4-octyl-2,3-dioxo-1-piperazinyl)carboxyl)amino)phenylacetyl)amino)-7-oxo-, (2S-(2-alpha,5-alpha,6-beta(S*)))-|6-[(1-Hydroxy-2-{[hydroxy(4-octyl-2,3-dioxopiperazin-1-yl)methylidene]amino}-2-phenylethylidene)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",601.700,C29H39N5O7S,182.000,1080.000,3.600,42,3,8,12,"InChI=1S/C29H39N5O7S/c1-4-5-6-7-8-12-15-32-16-17-33(25(38)24(32)37)28(41)31-19(18-13-10-9-11-14-18)22(35)30-20-23(36)34-21(27(39)40)29(2,3)42-26(20)34/h9-11,13-14,19-21,26H,4-8,12,15-17H2,1-3H3,(H,30,35)(H,31,41)(H,39,40)/t19?,20?,21-,26+/m0/s1",CCCCCCCCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,LHDZVTZAWUYESA-BLVHCSCLSA-N,"(2S,5R)-3,3-dimethyl-6-[[2-[(4-octyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Classification|Names and Identifiers|Toxicity,3,NULL,20050809,"ABI Chem|ChemIDplus|ChemSpider|EPA DSSTox|J&H Chemical Co.,ltd|NextBio",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development|Subscription Services,NULL
